pipeline,order,operator,baseline_arm,candidate_arm,baseline_mean_s,candidate_mean_s,speedup,time_reduction_percent,baseline_cv,candidate_cv,both_pairs_improve,observed_improvement,attributable_improvement,added_mechanisms,root_configuration_note,normal_root_claim_eligible,corrected_report_ref
fineweb,12,text_chunk_mapper,R,N,15.505224725056905,15.704301819961984,0.9873234036643368,-1.283935566463379,0.04378520124766129,0.005206505894508019,False,False,False,,not_affected_by_ad_root_helper,True,
fineweb,0,clean_html_mapper,R,ALL,3.3104580699582584,1.263961409975309,2.6191132449391215,61.81913852208234,0.003935965885837827,0.014108824732911265,True,True,True,native_regex,not_affected_by_ad_root_helper,True,
fineweb,1,clean_links_mapper,R,ALL,23.15042367496062,1.8323690650286153,12.634148936911403,92.08494371094169,0.004238954168958041,0.02653857564381887,True,True,True,native_regex,not_affected_by_ad_root_helper,True,
fineweb,2,clean_email_mapper,R,ALL,48.142678045027424,39.14694727497408,1.2297939276558647,18.68556369390111,0.2009387580386143,0.012092362443442549,False,False,False,,not_affected_by_ad_root_helper,True,
fineweb,3,clean_copyright_mapper,R,ALL,31.046091449970845,3.0687237749807537,10.116939068641184,90.11558740034687,0.024566905666129343,0.1695451735480823,True,False,False,native_regex,not_affected_by_ad_root_helper,True,
fineweb,4,fix_unicode_mapper,R,ALL,9.939186164992861,10.368467265041545,0.9585974388426675,-4.3190769638732585,0.07518714737619908,0.09807048130040069,False,False,False,,not_affected_by_ad_root_helper,True,
fineweb,5,punctuation_normalization_mapper,R,ALL,23.441925480030477,5.837488275021315,4.0157554714651456,75.0980853514183,0.013339776644807035,0.1049198809754819,True,False,False,native_translation,not_affected_by_ad_root_helper,True,
fineweb,6,whitespace_normalization_mapper,R,ALL,44.743036399944685,9.025470870023128,4.95741851525471,79.82821105535368,0.11665171789735912,0.05690680268714966,True,False,False,native_whitespace,not_affected_by_ad_root_helper,True,
fineweb,7,text_length_filter,R,ALL,32.734073840023484,5.7299140500254,5.712838544214879,82.49556691895918,0.7964413157830283,0.04929959465243405,True,False,False,native_length,not_affected_by_ad_root_helper,True,
fineweb,8,alphanumeric_filter,R,ALL,47.19164587999694,10.432935725024436,4.523333328585843,77.89240970413658,0.00249153251150659,0.020469631048461757,True,True,True,typed_alnum,not_affected_by_ad_root_helper,True,
fineweb,9,language_id_score_filter,R,ALL,73.95491708494956,14.999331414990593,4.930547571676277,79.71827701765744,0.012792187217224159,0.025363270832371294,True,True,True,native_language,not_affected_by_ad_root_helper,True,
fineweb,10,perplexity_filter,R,ALL,6.893819610006176,7.8517085700295866,0.8780024816917267,-13.894894473784358,0.05007303055692809,0.0778946409637856,False,False,False,,not_affected_by_ad_root_helper,True,
fineweb,11,document_deduplicator,R,ALL,5.6900646650465205,8.352155750035308,0.681268984360411,-46.784900378052605,0.06687155900501153,0.16451627832216945,False,False,False,,not_affected_by_ad_root_helper,True,
fineweb,12,text_chunk_mapper,R,ALL,14.757654259970877,16.860373705043457,0.8752863084853456,-14.24833112384305,0.00022545994843676127,0.007815331218904502,False,False,False,,not_affected_by_ad_root_helper,True,
ad,0,ad_sensor_align_mapper,R,S,100.40618099999847,67.56462754006498,1.4860761415499384,32.708696947585324,0.0242388442198077,0.07211562229196844,True,False,False,invariant_cache;value_cache,omitted_root_default_fallback_context_only,False,/opt/Codex/python-udf-jit/docs/reports/2026-09-07-blue53-ad-explicit-root-correction.md
ad,1,ad_index_mapper,R,S,107.01716995000606,113.91122778505087,0.9394786802925712,-6.442010976617518,0.02926087441338689,0.07933793999723102,False,False,False,,omitted_root_default_fallback_context_only,False,/opt/Codex/python-udf-jit/docs/reports/2026-09-07-blue53-ad-explicit-root-correction.md
ad,0,ad_sensor_align_mapper,R,B,96.16963081498398,15.82909849495627,6.075496393280208,83.54043957451694,0.029926365325948834,0.1067313344201832,True,False,False,arrow_batch;arrow_dictionary;invariant_cache;value_cache,omitted_root_default_fallback_context_only,False,/opt/Codex/python-udf-jit/docs/reports/2026-09-07-blue53-ad-explicit-root-correction.md
ad,1,ad_index_mapper,R,B,93.83607879001647,99.33878776000347,0.9446066426411281,-5.864171905883664,0.009244923393331104,0.01462165567756543,False,False,False,,omitted_root_default_fallback_context_only,False,/opt/Codex/python-udf-jit/docs/reports/2026-09-07-blue53-ad-explicit-root-correction.md
ad,0,ad_sensor_align_mapper,R,ALL,96.65184649999719,14.708543604996521,6.571136415379995,84.78193212273814,0.016168639364155187,0.053352850976263425,True,False,False,arrow_batch;arrow_dictionary;invariant_cache;value_cache,omitted_root_default_fallback_context_only,False,/opt/Codex/python-udf-jit/docs/reports/2026-09-07-blue53-ad-explicit-root-correction.md
ad,1,ad_index_mapper,R,ALL,93.56420374498703,112.97007519495673,0.8282211336366709,-20.74070068811913,0.014005874176256585,0.11486014993471327,False,False,False,,omitted_root_default_fallback_context_only,False,/opt/Codex/python-udf-jit/docs/reports/2026-09-07-blue53-ad-explicit-root-correction.md
ad,0,ad_sensor_align_mapper,ALL0,ALL,23.091212295053992,14.229965695005376,1.622717355050185,38.37497350429992,0.12932844957604298,0.08898314248966335,True,False,False,arrow_dictionary,omitted_root_default_fallback_context_only,False,/opt/Codex/python-udf-jit/docs/reports/2026-09-07-blue53-ad-explicit-root-correction.md
ad,1,ad_index_mapper,ALL0,ALL,106.8558152099722,111.03531832498265,0.9623587955790993,-3.9113483031295138,0.03255067956036645,0.008103101774856007,False,False,False,,omitted_root_default_fallback_context_only,False,/opt/Codex/python-udf-jit/docs/reports/2026-09-07-blue53-ad-explicit-root-correction.md
